подшипник,конструкция,Серия ширин,Конструктивное исполнение,Тип подшипника,Серия диаметров,Обозначение диаметра отверстия
32205,радиальный роликовый с короткими цилиндрическими роликами,0,3,2,2,5
292205,радиальный роликовый с короткими цилиндрическими роликами без внешнего кольца,0,29,2,2,5
4074103,радиальный роликовый игольчатый с диаметром отверстия 17 мм,4,7,4,1,3
901,"радиальный роликовый однорядный с диаметром отверстия 12,7 мм (неопределенной серии)",0,0,0,9,1
2910,радиальный роликовый с короткими цилиндрическими роликами с диаметром отверстия 48 мм,0,0,2,9,10
602/32,радиальный шариковый однорядный с защитной шайбой,0,6,0,2,32
20071/1175,роликовый конический однорядный,2,0,7,1,1175
