Brand,Country,Company,Type,Quality_Level,Specialization,Website,Notes
SKF,Швеция,SKF Group,Производитель,Премиум,Полный ассортимент,www.skf.com,Мировой лидер
FAG,Германия,Schaeffler Group,Производитель,Премиум,Полный ассортимент,www.schaeffler.com,Вместе с INA
INA,Германия,Schaeffler Group,Производитель,Премиум,Игольчатые и направляющие,www.schaeffler.com,
NSK Europe,Европа,NSK Ltd.,Производитель,Премиум,Полный ассортимент,www.nskeurope.com,Европейское подразделение
Timken,США/Европа,The Timken Company,Производитель,Премиум,Конические подшипники,www.timken.com,
NKE,Австрия,NKE Austria GmbH,Производитель,Индустриальный,Специализированные,www.nke.at,
NTN-SNR,Франция,NTN Corporation,Производитель,Премиум,Полный ассортимент,www.ntn-snr.com,Европейское подразделение NTN
